# word<TAB>count — self-count of Gutenberg PD texts; not CC-BY-SA wordfreq
# Sources: pg11.txt, pg1661.txt, pg1342.txt, pg84.txt, pg46.txt, pg35.txt
ease	28
endured	28
finally	28
happen	28
instance	28
key	28
lawn	28
lower	28
marrying	28
particulars	28
pipe	28
presented	28
probable	28
problem	28
progress	28
prospect	28
proud	28
race	28
rate	28
reflection	28
remains	28
retired	28
revenge	28
servants	28
signs	28
soft	28
sprang	28
spring	28
states	28
sympathy	28
thrown	28
trace	28
violence	28
violent	28
whispered	28
yellow	28
affected	27
aloud	27
apparently	27
assistance	27
bill	27
building	27
clair	27
confidence	27
confusion	27
consent	27
dining	27
drink	27
edge	27
electronic	27
engagement	27
explained	27
fit	27
frankenstein	27
gallery	27
gives	27
grow	27
holder	27
immediate	27
interrupted	27
james	27
lodge	27
mark	27
necessity	27
nine	27
opposite	27
pleasing	27
praise	27
private	27
prove	27
provided	27
quit	27
ring	27
sank	27
seat	27
share	27
shone	27
sides	27
smiles	27
someone	27
sought	27
surrounded	27
task	27
taste	27
throw	27
twelve	27
valley	27
value	27
visited	27
weak	27
wretch	27
accept	26
accepted	26
agitation	26
ashamed	26
asking	26
aware	26
beings	26
belief	26
bore	26
broad	26
carefully	26
charming	26
chief	26
conclusion	26
continue	26
contrary	26
couple	26
departure	26
difference	26
disappeared	26
dull	26
evident	26
false	26
fifty	26
gloom	26
grass	26
heavens	26
huge	26
hunsford	26
inclined	26
interested	26
judgment	26
laboratory	26
lie	26
naturally	26
nervous	26
pair	26
prepared	26
pressed	26
prevented	26
pursue	26
pursued	26
receiving	26
ruin	26
sign	26
sorrow	26
spend	26
straight	26
succeeded	26
support	26
touch	26
watched	26
worn	26
advanced	25
adventure	25
approach	25
arthur	25
birds	25
bitter	25
cast	25
cleared	25
compassion	25
consideration	25
derbyshire	25
destroy	25
employed	25
gold	25
goodness	25
headed	25
heads	25
heartily	25
inquiry	25
longed	25
maid	25
monday	25
moving	25
nose	25
occasionally	25
photograph	25
psychologist	25
pulled	25
raise	25
readily	25
reflections	25
relief	25
sad	25
safie	25
seldom	25
slow	25
square	25
stars	25
terror	25
travelling	25
triumph	25
village	25
wandered	25
welcome	25
yard	25
accustomed	24
admire	24
big	24
boots	24
break	24
brighton	24
burst	24
bye	24
chain	24
civil	24
comfortable	24
companions	24
cottagers	24
cross	24
devoted	24
dog	24
double	24
due	24
earnest	24
earnestly	24
eldest	24
failed	24
fingers	24
firm	24
generous	24
habit	24
innocence	24
inquired	24
knees	24
labour	24
lately	24
limbs	24
listening	24
lively	24
loose	24
motive	24
murdered	24
observing	24
ordered	24
parted	24
paused	24
pursuit	24
queer	24
recollection	24
refuse	24
regiment	24
scotland	24
sensation	24
shoulders	24
sphinx	24
sum	24
trembling	24
usually	24
violently	24
virtue	24
visible	24
ways	24
weight	24
accompanied	23
actually	23
art	23
bare	23
bestow	23
blow	23
bringing	23
burning	23
busy	23
centre	23
cheeks	23
circle	23
comprehend	23
conceal	23
creation	23
departed	23
destruction	23
details	23
dim	23
dozen	23
dust	23
ear	23
education	23
eliza	23
endeavouring	23
enjoyment	23
field	23
frank	23
golden	23
hanging	23
hearts	23
highest	23
hosmer	23
humanity	23
inclination	23
intimate	23
judged	23
league	23
lines	23
locked	23
matches	23
odd	23
offended	23
persons	23
possibility	23
puzzled	23
request	23
required	23
rise	23
satisfy	23
saturday	23
search	23
season	23
shoes	23
sooner	23
stretched	23
suit	23
sunk	23
swiftly	23
taught	23
telling	23
tim	23
travelled	23
trial	23
union	23
unpleasant	23
utter	23
warmth	23
wide	23
action	22
advertisement	22
agatha	22
approaching	22
attached	22
bestowed	22
blame	22
caroline	22
choice	22
chose	22
committed	22
constant	22
declared	22
delicate	22
distress	22
dry	22
dwelling	22
dying	22
effort	22
example	22
fish	22
frame	22
furniture	22
grown	22
holding	22
hunter	22
legs	22
lock	22
misfortunes	22
objects	22
observation	22
parents	22
post	22
precious	22
principal	22
proceed	22
property	22
rank	22
reflect	22
relate	22
roof	22
scheme	22
seriously	22
shore	22
shortly	22
shouted	22
smoke	22
solemn	22
somewhat	22
south	22
steady	22
strongly	22
suggested	22
thy	22
turner	22
vengeance	22
victim	22
wants	22
west	22
wilson	22
acknowledged	21
add	21
afford	21
agreed	21
agreement	21
amusement	21
apply	21
astonished	21
baby	21
beat	21
bedroom	21
boat	21
clever	21
clouds	21
clue	21
considering	21
contents	21
created	21
crowd	21
date	21
deceived	21
delay	21
distant	21
distinct	21
dread	21
editor	21
entering	21
gently	21
goes	21
handed	21
hate	21
hesitated	21
hitherto	21
immense	21
inside	21
instrument	21
learnt	21
motion	21
offered	21
ones	21
parts	21
perceive	21
permission	21
philosophy	21
plainly	21
proof	21
pushed	21
rapidly	21
respectable	21
restored	21
roylott	21
scenes	21
shaking	21
shining	21
ship	21
slept	21
slipped	21
soup	21
speedily	21
stared	21
start	21
startled	21
stepfather	21
suspicion	21
thirty	21
urged	21
wore	21
accident	20
affairs	20
agree	20
ancient	20
anxiously	20
aside	20
awoke	20
bar	20
bow	20
branches	20
bushes	20
certainty	20
composure	20
cratchits	20
creator	20
decided	20
described	20
dine	20
disappointed	20
duties	20
empty	20
endure	20
faint	20
fancied	20
favourable	20
flight	20
folly	20
forgive	20
hide	20
hills	20
hint	20
horse	20
informed	20
inn	20
leisure	20
license	20
loud	20
lover	20
mankind	20
maria	20
marley	20
mistake	20
moral	20
mountain	20
pointing	20
practice	20
previous	20
reasonable	20
reflected	20
report	20
resentment	20
saved	20
solitary	20
solitude	20
strike	20
teeth	20
thanks	20
tired	20
trembled	20
truly	20
useful	20
useless	20
utmost	20
vague	20
vessel	20
weary	20
windibank	20
wooden	20
wouldn	20
accordingly	19
amid	19
application	19
applied	19
asleep	19
band	19
bottom	19
bronze	19
card	19
catch	19
chosen	19
command	19
concluded	19
conditions	19
connections	19
contempt	19
crossed	19
determine	19
devil	19
direct	19
dreaded	19
driven	19
emotion	19
energy	19
enjoy	19
escaped	19
examination	19
fail	19
figures	19
fly	19
foolish	19
freely	19
frequent	19
friendship	19
frightful	19
geese	19
grasp	19
grateful	19
guess	19
heavily	19
housekeeper	19
improved	19
income	19
introduce	19
labours	19
laughter	19
laws	19
lest	19
likewise	19
missed	19
nay	19
neville	19
nice	19
noise	19
parsonage	19
patience	19
pen	19
peter	19
playing	19
prison	19
profession	19
refused	19
relation	19
roused	19
school	19
security	19
shadows	19
sheet	19
simply	19
sole	19
stoner	19
supposing	19
theory	19
throwing	19
tranquillity	19
undoubtedly	19
voices	19
walls	19
